ugov_id,brand_name_tax,TwitterHandle,TwitterHandle2
1000975,Aria,@AriaLV,
22004,Aricept,NOT AVAILABLE,
26003,Ask.com,@AskDotCom,
22005,AstraZeneca,@AstraZenecaUS,@AstraZeneca
29005,AT & T,@ATT,
1000551,AT&T U-Verse,@ItsOnATT,
13032,Athenos Hummus,@Athenos,
1001101,Athleta,@Athleta,
1000618,AutoNation,@AutoNation,
32004,AutoZone,@autozone,
20003,Avandia,NOT AVAILABLE,
1000696,Aveeno,NOT AVAILABLE,
1001462,Aveeno Baby,NOT AVAILABLE,
22006,Aventis,NOT AVAILABLE,
39008,Avis,@Avis,
20004,Avodart,NOT AVAILABLE,
1000062,Avon,@AvonInsider,
53088,AXE,@AXE,
16002,Bahama Breeze,@BahamaBreeze,
1001095,Bai,@drinkbai,
6003,Baileys,@BaileysOfficial,
52001,Baked Lay's,NOT AVAILABLE,
23002,Bally's,@BallysVegas,
1001465,Banana Boat,@bananaboat,
10004,Banana Republic,@BananaRepublic,
1000704,Band-Aid,NOT AVAILABLE,
12001,Bank of America,@BankofAmerica,
12002,Bank of New York,@BNYMellon,
12003,Barclays,@BarclaysBankUS,@Barclays
36003,Barnes & Noble,@BNBuzz,
53025,Barq's,NOT AVAILABLE,
19002,Baskin Robbins,@BaskinRobbins,
1001466,Bath & Body Works,@bathbodyworks,
34029,Bath and Body Works,@bathbodyworks,
12004,BB & T,@BBT,
10005,Bealls,@ShopBealls,
1000332,Bear Naked,@BearNaked,
1000610,Beats by Dr. Dre,@beatsbydre,
1000470,Beats Music,@beatsbydre,
9005,Bebe,@bebe_Stores,
5002,Beck's,@Becks_Beer,
34003,Bed Bath and Beyond,@BedBathBeyond,
1000556,Behr,@BehrPaint,
23004,Bellagio,@Bellagio,
21005,Benadryl,@Benadryl,
22007,Benefiber,NOT AVAILABLE,
1000705,Bengay,NOT AVAILABLE,
35001,Best Buy,@BestBuy,
31003,BET,@BET,
13001,Betty Crocker,@BettyCrocker,
35002,Big 5 Sporting Goods,@big5since55,
14001,Big Lots,@BigLots,
26030,Bing,@bing,
1000042,Bisquick,@Bisquick,
1000492,BJ's,@bjsrestaurants,
14002,BJ's Wholesale,@BJsWholesale,
37001,Black & Decker,@BLACKANDDECKER,
11004,BlackBerry,@BlackBerry,@BBMobile
1000630,Blackrock (ishares),@blackrock,@iShares
14003,Bloomingdale's,@Bloomingdales,
1000979,Blue Apron,@blueapron,
1001199,Blue Buffalo,@bluebuffalo,
25006,Blue Cross/Blue Shield,@BCBSAssociation,
1000434,Blue Moon,@BlueMoonBrewCo,
12015,BMO Harris Bank,@BMOHarrisBank,
18004,Bob Evans,@BobEvansFarms,
1001284,Bolthouse Dressings,@BolthouseFarms,
36026,Bon Ton,@bonton,
15003,Bonefish,@BonefishGrill,
1001215,Booking.com,@bookingcom,
32005,BP,@bp_America,@bp_plc
31004,Bravo,@BravoTV,
1000404,Bright House,@BrightHouse,
22008,Bristol-Myers Squibb,@bmsnews,
5027,Bud Light,@budlight,
39009,Budget,@Budget,
5003,Budweiser,@budweiserusa,@Budweiser
16004,Buffalo Wild Wings,@BWWings,
7004,Buick,@Buick,
1000684,Build-A-Bear Workshop,@buildabear,
17003,Burger King,@BurgerKing,
1001381,Burlington,@Burlington,
1000744,Burt's Bees,@BurtsBees,
5004,Busch,@BuschBeer,
38002,Busch Gardens,@BuschGardens,
9006,C. J. Banks,NOT AVAILABLE,
1001103,C9 by Champion,@ChampionUSA,
35004,Cabela's,@Cabelas,
7005,Cadillac,@Cadillac,
23005,Caesars Palace,@CaesarsPalace,
41005,Calvin Klein,@CalvinKlein,
13002,Campbell's,@Campbells,
3003,Canada Dry,@CanadaDry,
6006,Canadian Club,@Canadian_Club,
53076,Canned Seattle's Best Coffee,NOT AVAILABLE,
11006,Canon,@CanonUSA,
52025,Cape Cod,@CapeCodChips,
27004,Capital One,@CapitalOne,
53496,Capital One Bank,@CapitalOneCB,
53016,Capri Sun,@Capri_Sun,
6007,Captain Morgan,@CaptainMorganUS,
26027,careerbuilder,@CareerBuilder,
19003,Caribou Coffee,@cariboucoffee,
1000617,CarMax,@CarMax,
1000619,Carmax.com,@CarMax,
38003,Carnival Cruise Line,@CarnivalCruise,
32007,Carquest,@Carquest,
16006,Carrabba's,@Carrabbas,
26028,Cars.com,@carsdotcom,
31005,Cartoon Network,@cartoonnetwork,
24004,Casey's General Store,@caseysgenstore,
9008,Catherines Plus Sizes,@CatherinesPlus,
10007,Cato,@CatoFashions,
30003,CBS,@CBS,
38004,Cedar Point,@cedarpoint,
1000503,Celebrity Cruises,@CelebrityCruise,
21006,Centrum,NOT AVAILABLE,
1000552,CenturyLink,@CenturyLink,
42004,Champion,@ChampionUSA,
35007,Champs,@champssports,
27005,Charles Schwab,@CharlesSchwab,
13004,Charmin,@Charmin,
1000405,Charter,@GetSpectrum,
12005,Chase,@Chase,
38028,CheapTickets,@CheapTickets,
13027,Cheerios,@cheerios,
52021,Cheese Nips,NOT AVAILABLE,
52008,Cheetos,@ChesterCheetah,
52019,Cheez-Itz,@cheezit,
7006,Chevrolet,@chevrolet,
32008,Chevron,@Chevron,
1000044,Chex,@ChexCereal,
1000038,Chex Mix,@ChexMix,
9010,Chico's,@Chicos,
1001450,Children's Motrin,NOT AVAILABLE,
36006,Children's Place,@childrensplace,
1001451,Children's Tylenol,NOT AVAILABLE,
16007,Chili's,@Chilis,
17005,Chipotle,@ChipotleTweets,
1000683,choicehotels.com,@ChoiceHotels,
9011,Christopher & Banks,@CBanksStyle,
7007,Chrysler,@Chrysler,
1001143,Chubb,@ChubbNA,@Chubb
18009,Chuck E Cheese,@ChuckECheese,
20006,Cialis,NOT AVAILABLE,
25007,CIGNA,@Cigna,
31006,Cinemax,@Cinemax,
1000043,Cinnamon Toast Crunch,@CTCSquares,
12006,Citibank,@Citibank,
10008,CitiTrends,@CitiTrends,
53132,Citizens Bank,@CitizensBank,
21007,Citrucel,NOT AVAILABLE,
10006,Claires,@claires,
21008,Claritin,NOT AVAILABLE,
1000697,Clean & Clear,@cleanandclear,
1000035,Clear,@clearhair,
1000754,Clear Eyes,@cleareyes,
1000060,Clinique,@Clinique,
13006,Clorox,@Clorox,
1001016,CMT,@CMT,
1001492,CNA,@CNA_Insurance,
30004,CNBC,@CNBC,
26004,cnet.com,@CNET,
30005,CNN,@CNN,
41006,Coach,@Coach,
3004,Coca Cola,@CocaCola,
3028,Coke Zero,@CokeZero,
13007,Colgate,@Colgate,
1000023,Colorsilk,NOT AVAILABLE,
42005,Columbia,@Columbia1938,
31007,Comedy Central,@ComedyCentral,
12007,Comerica,@ComericaBank,
40002,Comfort Inn,NOT AVAILABLE,
11007,Compaq,NOT AVAILABLE,
35010,Conn's,@ConnsHomePlus,
32010,ConocoPhillips,@conocophillips,
41007,Converse,@Converse,
